0.01,0.18,7518
0.02,0.22,7694
0.03,0.4,8975
0.04,0.36,8957
0.05,0.53,9607
0.06,0.49,10063
0.07,0.58,10355
0.08,0.62,10566
0.09,0.67,10691
0.1,0.58,10611
0.01,0.18,7660
0.02,0.31,8252
0.03,0.31,8364
0.04,0.36,8407
0.05,0.49,9590
0.06,0.67,10548
0.07,0.53,9287
0.08,0.62,10514
0.09,0.62,10615
0.1,0.67,10739
0.01,0.13,7915
0.02,0.22,8057
0.03,0.36,8515
0.04,0.44,9207
0.05,0.49,9676
0.06,0.67,10548
0.07,0.58,10272
0.08,0.67,10642
0.09,0.67,10691
0.1,0.62,10404
0.01,0.27,7972
0.02,0.31,8551
0.03,0.36,8616
0.04,0.4,8757
0.05,0.58,9897
0.06,0.62,10360
0.07,0.62,10519
0.08,0.53,10333
0.09,0.62,10563
0.1,0.67,10739
0.01,0.18,7853
0.02,0.27,8236
0.03,0.31,8515
0.04,0.44,9361
0.05,0.58,9897
0.06,0.53,9652
0.07,0.62,10519
0.08,0.62,10454
0.09,0.53,9795
0.1,0.62,10611
0.01,0.27,8326
0.02,0.31,8510
0.03,0.31,8296
0.04,0.36,9149
0.05,0.36,9615
0.06,0.67,10548
0.07,0.62,10467
0.08,0.53,10190
0.09,0.67,10691
0.1,0.67,10739
0.01,0.18,7388
0.02,0.31,8416
0.03,0.31,8265
0.04,0.44,9207
0.05,0.44,9417
0.06,0.53,9614
0.07,0.58,10415
0.08,0.67,10642
0.09,0.67,10691
0.1,0.62,10663
0.01,0.09,7563
0.02,0.27,8210
0.03,0.27,8715
0.04,0.4,8926
0.05,0.49,9528
0.06,0.53,10257
0.07,0.58,10166
0.08,0.67,10642
0.09,0.67,10691
0.1,0.67,10739
0.01,0.22,7652
0.02,0.27,8069
0.03,0.36,8963
0.04,0.36,8463
0.05,0.53,9669
0.06,0.62,10528
0.07,0.62,10575
0.08,0.67,10642
0.09,0.67,10691
0.1,0.62,10611
0.01,0.18,7448
0.02,0.31,8259
0.03,0.31,8798
0.04,0.31,8392
0.05,0.58,9897
0.06,0.62,10420
0.07,0.67,10595
0.08,0.58,10554
0.09,0.67,10691
0.1,0.67,10739
