[77.96954314720811, 85.78680203045684, 90.65989847715734, 94.21319796954313, 96.54822335025379, 96.95431472081216, 97.36040609137054, 97.7664974619289, 98.17258883248728, 98.57868020304565, 99.39086294416241, 99.5939086294416, 99.99999999999997]
[78.1725888324873, 83.3502538071066, 88.83248730964466, 89.9492385786802, 91.06598984771573, 94.11167512690355, 94.9238578680203, 95.73604060913706, 96.8527918781726, 98.17258883248732, 99.28934010152285, 99.49238578680205, 99.69543147208124, 100.00000000000001]
[84.16243654822335, 87.81725888324874, 88.93401015228427, 92.38578680203047, 94.21319796954316, 94.92385786802032, 95.53299492385788, 96.14213197969545, 96.75126903553301, 97.36040609137058, 97.96954314720814, 98.5786802030457, 99.39086294416246, 100.00000000000003]
[81.11675126903553, 85.0761421319797, 88.02030456852792, 91.57360406091371, 93.80710659898477, 94.61928934010153, 95.43147208121829, 96.95431472081219, 97.56345177664976, 99.18781725888326, 99.39086294416245, 99.59390862944164, 100.00000000000001]
[76.24365482233503, 84.06091370558376, 89.54314720812182, 91.87817258883248, 92.89340101522842, 95.73604060913705, 97.15736040609137, 97.56345177664974, 97.96954314720811, 98.37563451776649, 98.78172588832486, 99.18781725888323, 99.99999999999999]
[81.01522842639594, 85.58375634517766, 88.3248730964467, 92.99492385786802, 93.70558375634518, 94.41624365482234, 96.04060913705584, 96.6497461928934, 97.86802030456853, 98.2741116751269, 98.68020304568527, 99.08629441624365, 99.69543147208121, 99.99999999999999]
[80.1015228426396, 84.77157360406092, 89.23857868020305, 91.57360406091371, 93.60406091370558, 95.32994923857868, 95.93908629441624, 96.5482233502538, 97.15736040609137, 98.2741116751269, 99.08629441624366, 99.49238578680203, 99.69543147208122, 100.0]
[82.63959390862944, 86.80203045685279, 88.52791878172589, 92.08121827411168, 93.2994923857868, 95.0253807106599, 97.36040609137056, 97.96954314720813, 98.3756345177665, 99.28934010152284, 99.49238578680203, 100.0]
[76.44670050761422, 84.26395939086295, 90.86294416243655, 92.89340101522842, 93.70558375634518, 95.43147208121827, 96.04060913705584, 97.36040609137056, 97.76649746192894, 98.1725888324873, 98.57868020304568, 98.98477157360405, 99.39086294416242, 99.99999999999999]
[81.11675126903553, 86.39593908629442, 89.34010152284264, 95.2284263959391, 95.83756345177666, 96.44670050761422, 97.86802030456855, 99.08629441624367, 99.28934010152287, 100.00000000000003]
[82.33502538071066, 85.98984771573605, 88.93401015228427, 93.70558375634519, 95.32994923857869, 95.93908629441626, 96.54822335025382, 97.86802030456855, 98.27411167512692, 99.18781725888326, 99.39086294416245, 99.59390862944164, 100.00000000000001]
[85.48223350253808, 89.03553299492387, 90.0507614213198, 91.06598984771574, 93.09644670050761, 93.90862944162437, 94.72081218274113, 95.53299492385788, 96.34517766497464, 97.1573604060914, 98.7817258883249, 99.49238578680206, 99.69543147208125, 100.00000000000003]
[78.57868020304568, 84.06091370558374, 87.71573604060913, 91.87817258883248, 93.80710659898477, 94.51776649746193, 95.2284263959391, 95.93908629441626, 97.05583756345179, 98.17258883248732, 98.57868020304569, 98.98477157360406, 99.39086294416244, 100.0]
[78.88324873096447, 85.58375634517766, 89.74619289340102, 94.31472081218274, 94.9238578680203, 95.53299492385787, 96.95431472081219, 97.36040609137056, 97.76649746192894, 98.1725888324873, 98.57868020304568, 98.98477157360405, 99.39086294416242, 99.99999999999999]
[79.69543147208121, 88.0203045685279, 91.2690355329949, 93.40101522842637, 94.21319796954313, 95.02538071065989, 96.64974619289339, 97.96954314720811, 99.18781725888324, 99.39086294416244, 100.0]
[81.11675126903553, 85.68527918781726, 89.23857868020305, 92.18274111675127, 93.09644670050761, 94.41624365482234, 95.1269035532995, 96.54822335025382, 97.05583756345179, 98.07106598984772, 98.4771573604061, 98.88324873096447, 99.39086294416244, 100.0]
[81.7258883248731, 83.55329949238579, 88.83248730964468, 91.37055837563453, 93.09644670050763, 95.93908629441626, 97.36040609137058, 97.76649746192895, 98.17258883248732, 98.57868020304569, 98.98477157360406, 100.0]
[78.68020304568529, 87.41116751269037, 91.37055837563453, 93.29949238578682, 95.63451776649748, 98.17258883248734, 98.47715736040611, 98.6802030456853, 98.8832487309645, 99.08629441624369, 99.28934010152288, 99.49238578680207, 99.69543147208127, 100.00000000000004]
[81.21827411167513, 88.52791878172589, 90.96446700507614, 93.09644670050761, 94.9238578680203, 95.53299492385787, 96.14213197969544, 97.46192893401016, 97.86802030456853, 98.2741116751269, 98.68020304568527, 99.08629441624365, 99.69543147208121, 99.99999999999999]
[76.95431472081218, 81.92893401015228, 90.25380710659897, 94.6192893401015, 95.22842639593907, 95.83756345177663, 97.36040609137054, 97.7664974619289, 98.17258883248728, 99.08629441624362, 99.28934010152281, 99.492385786802, 99.6954314720812, 99.99999999999997]
[79.39086294416244, 84.46700507614213, 88.42639593908629, 92.48730964467005, 95.32994923857868, 95.93908629441624, 97.36040609137056, 97.76649746192894, 98.1725888324873, 99.08629441624365, 99.28934010152284, 99.49238578680203, 99.69543147208122, 100.0]
[82.43654822335026, 86.80203045685279, 90.05076142131979, 94.21319796954315, 95.12690355329948, 96.5482233502538, 96.95431472081218, 97.36040609137055, 97.76649746192892, 98.17258883248729, 98.57868020304566, 98.98477157360404, 99.39086294416241, 99.99999999999997]
[73.60406091370558, 86.497461928934, 89.9492385786802, 91.77664974619289, 93.80710659898476, 94.61928934010152, 95.43147208121827, 98.68020304568527, 98.88324873096447, 99.08629441624366, 99.28934010152285, 99.49238578680205, 99.69543147208124, 100.00000000000001]
[84.36548223350255, 87.30964467005077, 91.06598984771574, 94.11167512690356, 95.1269035532995, 96.6497461928934, 97.05583756345177, 97.46192893401015, 97.86802030456852, 98.27411167512689, 98.68020304568526, 99.08629441624363, 99.6954314720812, 99.99999999999997]
[83.65482233502539, 87.91878172588832, 90.35532994923858, 92.48730964467005, 93.2994923857868, 94.11167512690356, 95.73604060913706, 96.34517766497463, 96.95431472081219, 97.56345177664976, 98.57868020304569, 98.98477157360406, 99.39086294416244, 100.0]
[77.56345177664976, 84.16243654822335, 88.62944162436548, 92.08121827411168, 93.09644670050761, 95.0253807106599, 96.6497461928934, 98.68020304568527, 98.88324873096447, 99.08629441624366, 99.28934010152285, 99.49238578680205, 99.69543147208124, 100.00000000000001]
[83.04568527918782, 86.49746192893402, 90.0507614213198, 92.18274111675127, 92.99492385786803, 93.80710659898479, 95.43147208121829, 96.04060913705585, 96.64974619289342, 97.25888324873098, 97.86802030456855, 98.47715736040611, 99.08629441624367, 100.00000000000001]
[79.79695431472081, 83.85786802030456, 88.73096446700507, 93.0964467005076, 95.12690355329947, 96.64974619289337, 97.05583756345175, 97.46192893401012, 97.86802030456849, 98.27411167512686, 98.68020304568523, 99.0862944162436, 99.69543147208117, 99.99999999999994]
[82.43654822335026, 88.22335025380711, 90.65989847715737, 93.90862944162437, 94.51776649746193, 95.1269035532995, 95.73604060913706, 96.34517766497463, 96.95431472081219, 97.56345177664976, 98.17258883248732, 99.08629441624366, 99.69543147208122, 100.0]
[76.6497461928934, 83.14720812182742, 89.74619289340103, 93.6040609137056, 95.43147208121829, 96.04060913705585, 97.46192893401017, 98.37563451776651, 98.88324873096448, 99.08629441624367, 99.28934010152287, 99.49238578680206, 99.69543147208125, 100.00000000000003]
[81.5228426395939, 86.29441624365482, 89.13705583756345, 95.0253807106599, 96.6497461928934, 97.05583756345177, 97.46192893401015, 98.57868020304568, 98.78172588832487, 98.98477157360406, 99.18781725888326, 99.39086294416245, 99.59390862944164, 99.89847715736042, 100.00000000000001]
[84.67005076142132, 87.61421319796955, 91.47208121827411, 93.60406091370558, 95.43147208121827, 96.95431472081218, 97.36040609137055, 97.76649746192892, 98.17258883248729, 99.08629441624363, 99.28934010152282, 99.49238578680202, 99.69543147208121, 99.99999999999999]
[81.5228426395939, 86.09137055837563, 88.52791878172589, 92.18274111675127, 93.19796954314721, 95.22842639593908, 96.85279187817258, 97.56345177664974, 100.0]
[80.0, 83.75634517766497, 90.55837563451776, 92.79187817258882, 94.72081218274111, 96.34517766497461, 96.85279187817258, 97.25888324873095, 97.66497461928932, 98.0710659898477, 98.47715736040607, 98.88324873096444, 99.39086294416241, 99.99999999999997]
[79.69543147208121, 86.80203045685279, 91.77664974619289, 92.79187817258882, 94.61928934010152, 95.22842639593908, 95.83756345177665, 96.44670050761421, 97.05583756345177, 98.1725888324873, 98.57868020304568, 98.98477157360405, 99.39086294416242, 99.99999999999999]
[68.32487309644671, 82.43654822335026, 90.35532994923858, 96.44670050761421, 100.0]
[76.24365482233503, 86.09137055837564, 90.96446700507614, 93.09644670050761, 93.90862944162437, 94.82233502538071, 96.44670050761421, 97.76649746192894, 98.1725888324873, 98.57868020304568, 99.39086294416244, 99.8984771573604, 100.0]
[78.4771573604061, 85.38071065989848, 89.64467005076142, 93.09644670050761, 95.0253807106599, 96.5482233502538, 96.95431472081218, 97.36040609137055, 97.76649746192892, 98.17258883248729, 98.57868020304566, 98.98477157360404, 99.39086294416241, 99.99999999999997]
[84.36548223350255, 87.61421319796955, 89.54314720812184, 91.16751269035534, 93.19796954314721, 94.9238578680203, 95.53299492385787, 96.14213197969544, 96.751269035533, 97.36040609137056, 97.96954314720813, 98.57868020304569, 99.39086294416245, 100.00000000000001]
[72.18274111675127, 81.92893401015229, 88.02030456852792, 92.89340101522842, 94.92385786802029, 97.56345177664973, 97.9695431472081, 98.37563451776647, 99.99999999999997]
[74.11167512690355, 82.94416243654823, 86.90355329949239, 93.60406091370558, 94.41624365482234, 96.14213197969544, 96.751269035533, 98.78172588832487, 98.98477157360406, 99.18781725888326, 99.39086294416245, 99.59390862944164, 100.00000000000001]
[73.70558375634518, 82.03045685279187, 89.13705583756345, 95.0253807106599, 96.6497461928934, 97.05583756345177, 97.46192893401015, 97.86802030456852, 98.88324873096445, 99.08629441624365, 99.28934010152284, 99.49238578680203, 99.69543147208122, 100.0]
[78.1725888324873, 84.36548223350253, 90.25380710659898, 93.2994923857868, 95.1269035532995, 95.73604060913706, 96.34517766497463, 96.95431472081219, 98.4771573604061, 99.18781725888326, 99.39086294416245, 99.59390862944164, 100.00000000000001]
[77.66497461928934, 85.68527918781726, 88.83248730964468, 94.41624365482234, 95.0253807106599, 95.63451776649747, 97.05583756345179, 97.46192893401016, 97.86802030456853, 98.2741116751269, 98.68020304568527, 99.08629441624365, 99.69543147208121, 99.99999999999999]
[80.20304568527918, 85.38071065989847, 87.10659898477157, 93.1979695431472, 94.01015228426395, 94.82233502538071, 96.5482233502538, 97.86802030456853, 98.78172588832487, 98.98477157360406, 99.28934010152284, 99.49238578680203, 99.69543147208122, 100.0]
[80.20304568527918, 87.00507614213197, 90.76142131979694, 95.02538071065987, 95.73604060913704, 96.4467005076142, 97.05583756345176, 99.08629441624363, 99.28934010152282, 99.99999999999999]
