0.01,0.3,4759
0.02,0.35,5298
0.03,0.4,5475
0.04,0.45,5917
0.05,0.5,6094
0.06,0.6,6772
0.07,0.65,6949
0.08,0.7,7126
0.09,0.75,7595
0.1,0.8,7804
0.01,0.3,4759
0.02,0.35,5298
0.03,0.4,5475
0.04,0.45,5917
0.05,0.5,6094
0.06,0.6,6772
0.07,0.65,6949
0.08,0.7,7126
0.09,0.75,7595
0.1,0.8,7804
0.01,0.3,4759
0.02,0.35,5298
0.03,0.4,5475
0.04,0.45,5917
0.05,0.5,6094
0.06,0.6,6772
0.07,0.65,6949
0.08,0.7,7126
0.09,0.75,7595
0.1,0.8,7804
0.01,0.3,4759
0.02,0.35,5298
0.03,0.4,5475
0.04,0.45,5917
0.05,0.5,6094
0.06,0.6,6772
0.07,0.65,6949
0.08,0.7,7126
0.09,0.75,7595
0.1,0.8,7804
0.01,0.3,4759
0.02,0.35,5298
0.03,0.4,5475
0.04,0.45,5917
0.05,0.5,6094
0.06,0.6,6772
0.07,0.65,6949
0.08,0.7,7126
0.09,0.75,7595
0.1,0.8,7804
0.01,0.3,4759
0.02,0.35,5298
0.03,0.4,5475
0.04,0.45,5917
0.05,0.5,6094
0.06,0.6,6772
0.07,0.65,6949
0.08,0.7,7126
0.09,0.75,7595
0.1,0.8,7804
0.01,0.3,4759
0.02,0.35,5298
0.03,0.4,5475
0.04,0.45,5917
0.05,0.5,6094
0.06,0.6,6772
0.07,0.65,6949
0.08,0.7,7126
0.09,0.75,7595
0.1,0.8,7804
0.01,0.3,4759
0.02,0.35,5298
0.03,0.4,5475
0.04,0.45,5917
0.05,0.5,6094
0.06,0.6,6772
0.07,0.65,6949
0.08,0.7,7126
0.09,0.75,7595
0.1,0.8,7804
0.01,0.3,4759
0.02,0.35,5298
0.03,0.4,5475
0.04,0.45,5917
0.05,0.5,6094
0.06,0.6,6772
0.07,0.65,6949
0.08,0.7,7126
0.09,0.75,7595
0.1,0.8,7804
0.01,0.3,4759
0.02,0.35,5298
0.03,0.4,5475
0.04,0.45,5917
0.05,0.5,6094
0.06,0.6,6772
0.07,0.65,6949
0.08,0.7,7126
0.09,0.75,7595
0.1,0.8,7804
0.01,0.3,4759
0.02,0.35,5298
0.03,0.4,5475
0.04,0.45,5917
0.05,0.5,6094
0.06,0.6,6772
0.07,0.65,6949
0.08,0.7,7126
0.09,0.75,7595
0.1,0.8,7804
0.01,0.3,4759
0.02,0.35,5298
0.03,0.4,5475
0.04,0.45,5917
0.05,0.5,6094
0.06,0.6,6772
0.07,0.65,6949
0.08,0.7,7126
0.09,0.75,7595
0.1,0.8,7804
0.01,0.3,4759
0.02,0.35,5298
0.03,0.4,5475
0.04,0.45,5917
0.05,0.5,6094
0.06,0.6,6772
0.07,0.65,6949
0.08,0.7,7126
0.09,0.75,7595
0.1,0.8,7804
0.01,0.3,4759
0.02,0.35,5298
0.03,0.4,5475
0.04,0.45,5917
0.05,0.5,6094
0.06,0.6,6772
0.07,0.65,6949
0.08,0.7,7126
0.09,0.75,7595
0.1,0.8,7804
0.01,0.3,4759
0.02,0.35,5298
0.03,0.4,5475
0.04,0.45,5917
0.05,0.5,6094
0.06,0.6,6772
0.07,0.65,6949
0.08,0.7,7126
0.09,0.75,7595
0.1,0.8,7804
0.01,0.3,4759
0.02,0.35,5298
0.03,0.4,5475
0.04,0.45,5917
0.05,0.5,6094
0.06,0.6,6772
0.07,0.65,6949
0.08,0.7,7126
0.09,0.75,7595
0.1,0.8,7804
0.01,0.3,4759
0.02,0.35,5298
0.03,0.4,5475
0.04,0.45,5917
0.05,0.5,6094
0.06,0.6,6772
0.07,0.65,6949
0.08,0.7,7126
0.09,0.75,7595
0.1,0.8,7804
0.01,0.3,4759
0.02,0.35,5298
0.03,0.4,5475
0.04,0.45,5917
0.05,0.5,6094
0.06,0.6,6772
0.07,0.65,6949
0.08,0.7,7126
0.09,0.75,7595
0.1,0.8,7804
0.01,0.3,4759
0.02,0.35,5298
0.03,0.4,5475
0.04,0.45,5917
0.05,0.5,6094
0.06,0.6,6772
0.07,0.65,6949
0.08,0.7,7126
0.09,0.75,7595
0.1,0.8,7804
0.01,0.3,4759
0.02,0.35,5298
0.03,0.4,5475
0.04,0.45,5917
0.05,0.5,6094
0.06,0.6,6772
0.07,0.65,6949
0.08,0.7,7126
0.09,0.75,7595
0.1,0.8,7804
