0,51,[]
87,6,[]
98,8,[1, 2, 3, 4, 5, 6, 7]
112,10,[]
130,9,[]
146,7,[]
159,8,[]
173,11,[]
193,10,[]
211,10,[]
229,9,[]
245,10,[]
263,12,[]
284,12,[]
299,10,[]
314,10,[]
327,14,[]
345,13,[4]
362,18,[]
385,14,[]
403,14,[]
421,16,[6, 7, 8, 9, 10, 11, 12]
441,16,[]
465,15,[]
488,17,[]
514,118,[]
715,15,[]
742,9,[]
758,10,[]
776,12,[]
797,11,[]
817,9,[]
833,13,[]
856,13,[]
879,6,[]
890,11,[]
910,12,[]
931,13,[]
954,14,[]
975,14,[]
996,14,[]
1017,17,[]
1044,14,[]
1063,17,[9, 12, 13, 14, 15, 16]
1086,17,[6, 7, 8, 9, 10, 11, 12, 13]
1109,16,[]
1135,15,[]
1160,16,[]
1186,16,[]
1212,18,[]
1242,125,[]
1455,8,[]
1471,9,[]
1489,12,[]
1513,13,[]
1539,17,[]
1572,17,[]
1605,18,[]
1640,18,[]
1675,15,[]
1704,20,[]
1743,16,[]
1774,17,[]
1807,18,[16, 17]
1831,16,[]
1857,16,[]
1883,19,[]
1914,20,[]
1947,16,[]
1973,18,[]
2003,21,[]
2038,17,[]
2061,21,[]
2089,19,[]
2114,24,[12, 13]
2146,149,[]
2400,7,[]
2414,13,[]
2440,14,[]
2468,13,[]
2494,21,[]
2535,23,[]
2580,22,[]
2623,22,[]
2666,19,[]
2703,22,[]
2746,19,[]
2783,24,[]
2830,21,[]
2858,20,[]
2885,21,[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]
2920,18,[]
2944,18,[]
2968,20,[]
2995,18,[]
3019,21,[]
3054,19,[]
3085,21,[]
3120,21,[]
3155,21,[]
3190,127,[]
3406,10,[]
3426,16,[]
3457,16,[]
3488,17,[]
3521,18,[]
3556,15,[]
3585,17,[]
3618,18,[]
3653,17,[]
3686,18,[]
3721,14,[]
3749,16,[]
3780,15,[]
3800,17,[]
3823,14,[]
3842,15,[]
3862,16,[13, 14]
3883,17,[]
3906,18,[]
3930,15,[12, 13]
3950,15,[5, 6, 7, 8, 9, 10, 11, 12, 13, 14]
3970,13,[]
3988,14,[]
4007,24,[]
4046,125,[]
4259,5,[]
4269,9,[]
4287,15,[]
4316,15,[]
4345,16,[]
4376,15,[]
4405,15,[]
4434,13,[]
4460,14,[]
4488,16,[]
4519,15,[]
4548,16,[]
4579,17,[]
4607,17,[]
4635,18,[]
4665,18,[]
4689,19,[6, 7]
4714,20,[7]
4741,22,[17, 18, 19, 20, 21]
4770,18,[]
4794,20,[]
4821,17,[]
4844,18,[]
4868,18,[]
4892,137,[]
5125,8,[]
5141,9,[]
5159,11,[]
5181,13,[]
5207,14,[]
5235,15,[]
5264,18,[]
5299,19,[]
5336,19,[]
5373,16,[]
5404,14,[]
5432,18,[]
5467,18,[]
5497,22,[]
5533,22,[]
5569,22,[7]
5598,20,[7]
5625,24,[]
5657,22,[17, 21]
5686,22,[]
5715,22,[]
5744,22,[]
5780,23,[]
5818,21,[]
5853,116,[]
6051,7,[]
6065,10,[]
6085,13,[]
6111,14,[]
6139,15,[]
6168,14,[]
6196,10,[]
6216,12,[]
6240,12,[]
6264,14,[]
6292,13,[]
6318,12,[]
6342,15,[]
6362,13,[]
6380,15,[]
6400,14,[]
6419,10,[]
6433,13,[]
6451,16,[]
6472,14,[]
6491,15,[5, 6]
6511,15,[13]
6531,15,[5, 6, 7, 8, 9, 10, 11, 12, 13, 14]
6551,14,[]
6570,122,[]
6778,5,[]
6788,6,[]
6800,6,[]
6812,7,[]
6826,9,[]
6844,12,[]
6868,12,[]
6892,10,[]
6912,13,[]
6938,11,[]
6960,12,[]
6984,15,[]
7013,13,[]
7035,13,[]
7057,15,[]
7077,15,[13, 14]
7097,17,[15]
7120,15,[]
7145,15,[]
7165,13,[5, 6]
7183,17,[]
7206,20,[7, 8, 9, 10, 11, 12, 13]
7233,18,[]
7257,17,[]
7285,117,[]
7484,7,[]
7498,7,[]
7512,11,[]
7534,11,[]
7556,12,[]
7580,13,[]
7606,10,[]
7626,17,[]
7659,16,[]
7690,11,[]
7712,13,[]
7738,12,[]
7762,14,[]
7781,19,[]
7806,13,[5, 6, 7, 8, 9, 10, 11, 12]
7824,11,[]
7839,17,[]
7862,20,[]
7889,20,[]
7916,18,[]
7940,19,[]
7971,17,[]
7999,30,[]
8048,18,[]
8078,121,[]
8284,5,[]
8294,10,[]
8314,11,[]
8336,10,[]
8356,14,[]
8384,11,[]
8406,13,[]
8432,13,[]
8458,14,[]
8486,14,[]
8513,15,[]
8542,14,[]
8569,16,[]
8595,18,[]
8624,15,[]
8648,17,[]
8675,12,[5]
8691,17,[6, 7]
8713,14,[]
8732,11,[9, 10]
8747,14,[]
8770,15,[]
8794,17,[]
8816,16,[]
8837,133,[]
9064,4,[]
9072,5,[]
9082,6,[]
9094,8,[]
