0.01,0.3,4260
0.02,0.35,4404
0.03,0.4,4543
0.04,0.45,4748
0.05,0.5,4797
0.06,0.6,5164
0.07,0.65,5357
0.08,0.7,5474
0.09,0.75,5620
0.1,0.8,5801
0.01,0.3,4260
0.02,0.35,4404
0.03,0.4,4543
0.04,0.45,4748
0.05,0.5,4797
0.06,0.6,5164
0.07,0.65,5357
0.08,0.7,5474
0.09,0.75,5620
0.1,0.8,5801
0.01,0.3,4260
0.02,0.35,4404
0.03,0.4,4543
0.04,0.45,4748
0.05,0.5,4797
0.06,0.6,5164
0.07,0.65,5357
0.08,0.7,5474
0.09,0.75,5620
0.1,0.8,5801
0.01,0.3,4260
0.02,0.35,4404
0.03,0.4,4543
0.04,0.45,4748
0.05,0.5,4797
0.06,0.6,5164
0.07,0.65,5357
0.08,0.7,5474
0.09,0.75,5620
0.1,0.8,5801
0.01,0.3,4260
0.02,0.35,4404
0.03,0.4,4543
0.04,0.45,4748
0.05,0.5,4797
0.06,0.6,5164
0.07,0.65,5357
0.08,0.7,5474
0.09,0.75,5620
0.1,0.8,5801
0.01,0.3,4260
0.02,0.35,4404
0.03,0.4,4543
0.04,0.45,4748
0.05,0.5,4797
0.06,0.6,5164
0.07,0.65,5357
0.08,0.7,5474
0.09,0.75,5620
0.1,0.8,5801
0.01,0.3,4260
0.02,0.35,4404
0.03,0.4,4543
0.04,0.45,4748
0.05,0.5,4797
0.06,0.6,5164
0.07,0.65,5357
0.08,0.7,5474
0.09,0.75,5620
0.1,0.8,5801
0.01,0.3,4260
0.02,0.35,4404
0.03,0.4,4543
0.04,0.45,4748
0.05,0.5,4797
0.06,0.6,5164
0.07,0.65,5357
0.08,0.7,5474
0.09,0.75,5620
0.1,0.8,5801
0.01,0.3,4260
0.02,0.35,4404
0.03,0.4,4543
0.04,0.45,4748
0.05,0.5,4797
0.06,0.6,5164
0.07,0.65,5357
0.08,0.7,5474
0.09,0.75,5620
0.1,0.8,5801
0.01,0.3,4260
0.02,0.35,4404
0.03,0.4,4543
0.04,0.45,4748
0.05,0.5,4797
0.06,0.6,5164
0.07,0.65,5357
0.08,0.7,5474
0.09,0.75,5620
0.1,0.8,5801
0.01,0.3,4260
0.02,0.35,4404
0.03,0.4,4543
0.04,0.45,4748
0.05,0.5,4797
0.06,0.6,5164
0.07,0.65,5357
0.08,0.7,5474
0.09,0.75,5620
0.1,0.8,5801
0.01,0.3,4260
0.02,0.35,4404
0.03,0.4,4543
0.04,0.45,4748
0.05,0.5,4797
0.06,0.6,5164
0.07,0.65,5357
0.08,0.7,5474
0.09,0.75,5620
0.1,0.8,5801
0.01,0.3,4260
0.02,0.35,4404
0.03,0.4,4543
0.04,0.45,4748
0.05,0.5,4797
0.06,0.6,5164
0.07,0.65,5357
0.08,0.7,5474
0.09,0.75,5620
0.1,0.8,5801
0.01,0.3,4260
0.02,0.35,4404
0.03,0.4,4543
0.04,0.45,4748
0.05,0.5,4797
0.06,0.6,5164
0.07,0.65,5357
0.08,0.7,5474
0.09,0.75,5620
0.1,0.8,5801
0.01,0.3,4260
0.02,0.35,4404
0.03,0.4,4543
0.04,0.45,4748
0.05,0.5,4797
0.06,0.6,5164
0.07,0.65,5357
0.08,0.7,5474
0.09,0.75,5620
0.1,0.8,5801
0.01,0.3,4260
0.02,0.35,4404
0.03,0.4,4543
0.04,0.45,4748
0.05,0.5,4797
0.06,0.6,5164
0.07,0.65,5357
0.08,0.7,5474
0.09,0.75,5620
0.1,0.8,5801
0.01,0.3,4260
0.02,0.35,4404
0.03,0.4,4543
0.04,0.45,4748
0.05,0.5,4797
0.06,0.6,5164
0.07,0.65,5357
0.08,0.7,5474
0.09,0.75,5620
0.1,0.8,5801
0.01,0.3,4260
0.02,0.35,4404
0.03,0.4,4543
0.04,0.45,4748
0.05,0.5,4797
0.06,0.6,5164
0.07,0.65,5357
0.08,0.7,5474
0.09,0.75,5620
0.1,0.8,5801
0.01,0.3,4260
0.02,0.35,4404
0.03,0.4,4543
0.04,0.45,4748
0.05,0.5,4797
0.06,0.6,5164
0.07,0.65,5357
0.08,0.7,5474
0.09,0.75,5620
0.1,0.8,5801
0.01,0.3,4260
0.02,0.35,4404
0.03,0.4,4543
0.04,0.45,4748
0.05,0.5,4797
0.06,0.6,5164
0.07,0.65,5357
0.08,0.7,5474
0.09,0.75,5620
0.1,0.8,5801
