0,17,[]
26,8,[]
40,13,[]
63,14,[]
88,5,[]
97,16,[]
125,16,[]
153,15,[]
180,13,[]
203,6,[]
214,16,[]
242,13,[]
265,15,[]
292,14,[]
317,14,[]
342,15,[]
369,3,[]
373,13,[]
390,15,[]
409,16,[]
429,13,[]
446,6,[]
454,15,[]
473,17,[]
495,18,[]
518,14,[]
536,14,[]
554,14,[]
572,7,[]
581,14,[10]
599,37,[]
655,14,[]
680,12,[]
701,6,[]
712,14,[]
737,16,[]
765,17,[]
795,16,[]
823,20,[]
858,16,[]
886,7,[]
899,17,[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]
929,16,[]
957,18,[]
989,5,[]
998,16,[]
1026,16,[]
1047,15,[]
1067,16,[]
1088,15,[]
1108,17,[]
1131,8,[]
1142,16,[]
1163,17,[]
1186,17,[]
1209,17,[6, 7, 8]
1232,5,[]
1239,15,[]
1259,17,[10]
1282,16,[]
1303,41,[]
1370,13,[]
1396,17,[]
1429,2,[]
1433,17,[]
1466,17,[]
1499,17,[]
1532,18,[]
1567,5,[]
1577,18,[]
1612,17,[]
1645,18,[]
1680,18,[]
1715,17,[]
1748,17,[]
1781,8,[]
1797,16,[]
1818,17,[6, 7, 8, 9, 10, 11, 12, 13]
1841,17,[]
1864,17,[]
1887,7,[]
1897,18,[]
1921,18,[]
1945,16,[]
1966,17,[]
1989,16,[12, 13]
2010,16,[]
2031,8,[]
2042,16,[]
2063,18,[]
2087,42,[]
2156,13,[]
2182,4,[]
2190,17,[]
2223,16,[]
2254,14,[]
2282,21,[]
2323,15,[]
2352,17,[]
2385,10,[]
2405,17,[]
2438,17,[]
2471,16,[]
2502,16,[]
2533,7,[]
2547,17,[]
2580,19,[]
2605,15,[12, 13]
2625,15,[]
2645,15,[13, 14]
2665,8,[]
2676,15,[]
2696,16,[]
2717,18,[11, 12, 13, 14, 15, 16, 17]
2741,16,[]
2762,7,[]
2772,16,[]
2793,19,[]
2818,16,[]
2839,16,[6, 7, 8, 9, 10, 11, 12, 13, 14, 15]
2860,48,[]
2938,13,[]
2964,4,[]
2972,17,[]
3005,17,[]
3038,18,[]
3073,18,[]
3108,7,[]
3122,19,[]
3159,16,[]
3190,16,[]
3221,17,[]
3254,22,[]
3297,17,[]
3330,7,[]
3344,18,[]
3379,16,[]
3400,17,[6, 7]
3423,17,[]
3446,7,[]
3456,20,[]
3483,20,[]
3510,21,[]
3538,20,[7, 8, 9, 10, 11, 12, 13, 14, 15, 16]
3565,19,[]
3590,21,[]
3618,9,[]
3630,23,[]
3668,22,[]
3704,22,[]
3733,46,[]
3808,3,[]
3814,21,[]
3855,22,[]
3898,23,[]
3943,23,[]
3988,19,[]
4025,19,[]
4062,6,[]
4074,19,[]
4111,20,[]
4150,20,[]
4189,18,[]
4224,6,[]
4236,19,[]
4273,19,[]
4310,21,[]
4338,17,[13, 14, 15, 16]
4361,22,[]
4397,19,[9, 10]
4422,6,[]
4430,20,[11]
4457,20,[7, 8, 9, 10, 11]
4484,17,[]
4507,18,[]
4531,5,[]
4538,21,[7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]
4566,18,[]
4590,20,[]
4617,20,[]
4644,43,[]
4714,3,[]
4720,19,[]
4757,19,[]
4794,18,[]
4829,18,[]
4864,6,[]
4876,19,[]
4913,18,[]
4948,18,[]
4983,18,[]
5018,16,[]
5049,17,[]
5082,6,[]
5094,17,[]
5127,20,[]
5166,16,[8]
5187,20,[7, 8, 9]
5214,3,[]
5218,16,[]
5239,18,[]
5263,18,[]
5287,19,[14]
5312,18,[]
5336,23,[]
5367,6,[]
5375,20,[]
5402,18,[]
5426,17,[15]
5449,19,[6, 7, 8, 9, 10, 11, 12, 13, 14, 15]
5474,46,[]
5549,15,[]
5578,16,[]
5609,18,[]
5644,18,[]
5679,16,[]
5710,17,[]
5743,6,[]
5755,16,[]
5786,18,[]
5821,20,[]
5860,17,[]
5893,7,[]
5907,17,[]
5940,20,[]
5979,16,[]
6010,16,[]
6031,16,[8]
6052,16,[11]
6073,7,[]
6083,18,[6, 7, 8]
6107,19,[18]
6132,17,[6]
6155,17,[]
6178,6,[]
6186,19,[13, 14]
6211,17,[]
6234,18,[]
6258,6,[]
6266,17,[]
6289,46,[]
6364,18,[]
6399,14,[]
6427,14,[]
6455,16,[]
6486,7,[]
6500,19,[]
6537,16,[]
6568,16,[]
6599,16,[]
6630,9,[]
6648,18,[]
6683,18,[]
6718,15,[]
6747,16,[]
6778,16,[]
6809,15,[]
6829,7,[3, 4, 5, 6]
6839,17,[6, 7, 8, 9, 10, 11, 12]
6862,17,[]
6885,17,[]
6908,17,[]
6931,3,[]
6935,17,[]
6958,19,[]
6983,16,[]
7004,16,[]
7025,17,[]
7048,17,[]
7071,6,[]
7079,45,[]
7152,14,[]
7180,18,[]
7215,18,[]
7250,5,[]
7260,18,[]
7295,16,[]
7326,22,[]
7369,15,[]
7398,16,[]
7429,14,[]
7457,6,[]
7469,15,[]
7498,16,[]
7529,17,[]
7562,15,[]
7591,8,[]
7602,15,[]
7622,17,[]
7645,17,[]
7668,18,[]
7692,16,[]
7713,17,[]
7736,6,[]
7744,18,[]
7768,18,[]
7792,18,[]
7816,17,[]
7839,3,[]
7843,10,[]
0,60,[]
85,1,[]
87,13,[]
108,13,[]
129,15,[]
154,13,[]
175,14,[]
198,14,[]
221,15,[]
246,13,[]
267,14,[]
290,16,[]
316,17,[]
344,15,[]
369,17,[]
397,14,[]
420,16,[]
440,16,[]
460,19,[4, 8, 9, 10]
483,18,[4, 5, 6, 7, 8, 9, 10, 11]
505,17,[]
526,11,[]
540,16,[]
560,17,[]
581,19,[]
604,17,[10]
625,17,[]
646,18,[7]
668,23,[]
696,19,[15, 17]
719,163,[]
949,16,[]
975,6,[]
985,11,[]
1003,6,[]
1014,9,[]
1031,9,[]
1048,9,[]
1065,12,[]
1088,11,[]
1109,13,[]
1133,8,[]
1148,10,[]
1167,12,[]
1190,10,[]
1209,9,[]
1226,11,[]
1241,8,[]
1252,9,[]
1264,15,[]
1284,10,[]
1297,7,[]
1306,11,[]
1321,7,[]
1330,13,[]
1347,11,[]
1362,11,[]
1377,15,[]
1397,11,[]
1412,9,[]
1424,141,[]
1644,5,[]
1654,4,[]
1662,9,[]
1679,10,[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
1698,9,[]
1715,13,[]
1739,11,[]
1760,13,[]
1784,15,[]
1812,10,[]
1831,12,[]
1854,15,[]
1882,11,[]
1903,11,[]
1924,10,[]
1943,11,[]
1958,11,[]
1973,14,[4]
1991,13,[]
2008,14,[]
2027,14,[]
2046,13,[]
2064,14,[]
2083,15,[5, 6, 7, 8]
2103,12,[]
2119,13,[]
2137,14,[]
2156,16,[]
2177,11,[8]
2192,134,[]
2410,12,[]
2434,10,[]
2454,10,[]
2474,11,[]
2496,8,[]
2512,11,[]
2534,14,[]
2562,13,[]
2588,13,[]
2614,17,[]
2647,13,[]
2673,18,[]
2708,12,[]
2732,16,[]
2763,14,[]
2791,16,[]
2812,11,[]
2827,12,[]
2843,13,[]
2861,16,[12]
2882,17,[]
2905,13,[]
2923,12,[]
2939,16,[]
2960,13,[]
2978,14,[9, 10, 11, 12]
2997,13,[]
3015,16,[]
3036,9,[3]
3048,149,[]
3281,12,[]
3304,8,[]
3319,9,[]
3336,12,[]
3359,14,[]
3385,16,[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]
3415,13,[]
3439,17,[]
3471,12,[]
3494,12,[]
3517,17,[]
3549,18,[]
3583,12,[]
3606,12,[]
3629,10,[]
3648,14,[]
3666,11,[]
3681,11,[]
3696,11,[]
3711,12,[]
3727,10,[]
3740,13,[10]
3757,13,[5, 6, 7, 8, 9, 10, 11, 12]
3774,14,[]
3792,9,[]
3804,10,[]
3817,13,[]
3834,15,[]
3854,10,[]
3867,161,[]
4119,10,[]
4139,7,[]
4153,7,[]
4167,9,[]
4185,9,[]
4203,9,[]
4221,14,[]
4249,13,[]
4275,16,[]
4306,16,[]
4337,13,[]
4363,17,[]
4396,16,[]
4427,15,[]
4456,17,[]
4489,17,[]
4517,16,[]
4538,16,[]
4559,16,[]
4580,17,[]
4603,13,[]
4621,16,[]
4642,17,[]
4665,17,[]
4688,15,[]
4708,15,[8, 9, 10, 11, 12, 13, 14]
4728,14,[]
4747,16,[]
4768,13,[]
4786,141,[]
5015,7,[]
5029,6,[]
5041,10,[]
5061,12,[]
5085,10,[]
5105,11,[]
5127,11,[]
5149,13,[]
5175,15,[]
5204,13,[]
5230,13,[]
5256,13,[]
5282,12,[]
5306,13,[]
5332,12,[]
5356,13,[]
5374,12,[]
5390,13,[]
5408,13,[7, 8, 9]
5426,13,[]
5444,11,[]
5459,12,[11]
5475,13,[5]
5493,15,[]
5513,13,[]
5531,13,[]
5549,13,[]
5567,15,[]
5587,11,[]
5602,143,[]
5834,6,[]
5846,5,[]
5856,8,[]
5872,10,[]
5892,9,[]
5910,11,[]
5932,13,[]
5958,16,[]
5989,14,[]
6017,14,[]
6045,13,[]
6071,12,[]
6095,14,[]
6123,13,[]
6149,13,[]
6175,12,[]
6191,12,[]
6207,11,[]
6222,13,[]
6240,13,[]
6258,11,[8]
6273,11,[4]
6288,10,[]
6302,12,[]
6318,10,[]
6332,11,[10]
6347,10,[]
6361,13,[5, 6]
6379,11,[]
6394,119,[]
6587,3,[]
6593,10,[]
6613,6,[]
6625,7,[]
6639,8,[]
6655,8,[]
6671,8,[]
6687,8,[]
6703,11,[]
6725,9,[]
6743,8,[]
6759,11,[]
6781,9,[]
6799,11,[]
6821,12,[]
6845,11,[]
6860,11,[]
6875,10,[]
6889,9,[]
6901,12,[4, 5]
6917,15,[10]
6937,12,[]
6953,11,[]
6968,13,[]
6986,15,[14]
7006,15,[]
7026,14,[]
7045,17,[]
7068,16,[]
7089,135,[]
7308,9,[]
7325,8,[]
7340,11,[]
7361,11,[]
7382,11,[]
7403,12,[]
7426,12,[]
7449,14,[]
7475,15,[]
7503,15,[]
7531,15,[]
7559,16,[]
7589,16,[]
7619,18,[]
7653,15,[]
7681,15,[]
7701,13,[]
7718,15,[]
7738,13,[]
7755,16,[]
7776,14,[5]
7794,15,[]
7814,14,[12]
7832,13,[]
7849,18,[]
7873,18,[]
7897,12,[]
7913,13,[]
7930,14,[9, 10, 11, 12]
0,28,[]
47,3,[]
54,8,[]
71,12,[]
96,15,[]
127,14,[]
156,11,[]
179,11,[]
202,12,[]
227,11,[]
250,13,[]
277,13,[]
304,15,[]
335,12,[]
360,13,[]
387,11,[]
410,15,[]
431,12,[]
448,12,[11]
465,13,[6]
483,14,[]
502,11,[9, 10]
517,13,[11]
535,11,[]
550,13,[]
568,12,[8, 9, 10, 11]
585,12,[]
602,12,[]
619,18,[]
644,14,[7, 8, 9, 10, 11, 12, 13]
663,74,[]
787,18,[]
824,16,[]
857,15,[]
888,11,[]
911,16,[]
944,21,[]
987,24,[]
1036,21,[]
1074,21,[]
1111,23,[]
1150,22,[]
1187,22,[]
1224,24,[]
1264,20,[]
1298,24,[]
